流水號,國字,審定音,詞語例或說明,備注
869,繃,1.ㄅㄥ\n2.ㄅㄥˇ\n3.ㄅㄥˋ,1.繃帶、繃緊\n2.繃不住、繃著臉\n3.繃裂、繃鼓子,
870,縫,1.ㄈㄥˊ\n2.ㄈㄥˋ,1.縫紉、裁縫\n2.門縫、天衣無縫、衣縫,
871,縱,1.ㄗㄨㄥ\n2.ㄗㄨㄥˋ,1.縱隊、縱谷、縱貫鐵路、縱\n橫\n2.放縱、縱聲大笑、縱然,
872,繁,1.ㄆㄛˊ\n2.ㄈㄢˊ,1.姓（如東漢時有繁欽）。\n2.繁殖、繁榮、繁雜、繁文縟\n節,
873,縳,ㄓㄨㄢˋ,紡縳、「縳，白鮮卮也。」（\n《說文》）,
874,縹,ㄆ丨ㄠˇ,縹帙、虛無縹緲,ㄆ丨ㄠˋ併讀為ㄆ丨ㄠˇ。
875,繇,丨ㄠˊ,繇賦,丨ㄠˊ音，通「徭」。
876,繒,ㄗㄥ,繒書、綵繒；姓（如漢代有繒\n賀）。,
877,繫,1.ㄐ丨ˋ\n2.ㄒ丨ˋ,1.繫鞋帶\n2.聯繫、解鈴還須繫鈴人、繫\n念、繫獄,綁、扣、結義於口語詞時，音ㄐ\n丨ˋ，餘則音ㄒ丨ˋ。
878,繳,1.ㄐ丨ㄠˇ\n2.ㄓㄨㄛˊ,1.繳費、繳納\n2.繳射、矰（ㄗㄥ）繳,
879,署,1.ㄕㄨˇ\n2.ㄕㄨˋ,1.官署、環保署、署長\n2.部署、簽署、署名、署理,
880,罷,1.ㄅㄚˋ\n2.˙ㄅㄚ\n3.ㄆ丨ˊ,1.罷免、罷了、罷官、欲罷不\n能\n2.「快走罷！」、「算了罷！\n」\n3.罷弊、罷馬,
881,罾,ㄗㄥ,扳罾、「罾，魚網也。」（《\n說文》）,
882,羊,丨ㄤˊ,山羊、羊腸小徑；姓（如漢代\n有羊續）。,
883,羋,1.ㄇ丨ˇ\n2.ㄇ丨ㄝ,1.姓（如戰國時有羋嬰）。\n2.羋羋,
884,羹,ㄍㄥ,豆羹、調羹、羹湯,
885,翟,1.ㄉ丨ˊ\n2.ㄓㄞˊ,1.墨翟（人名）、長尾翟\n2.陽翟（地名）、姓（如明代\n有翟良）。,
886,翮,ㄍㄜˊ,鼓翮、羽翮,ㄏㄜˊ併讀為ㄍㄜˊ。
887,翳,丨ˋ,障翳、眼翳,丨併讀為丨ˋ。
888,翹,1.ㄑ丨ㄠˊ讀\n2.ㄑ丨ㄠˋ語,1.翹楚、翹舌、翹首\n2.翹辮子、翹翹板,用於口語詞時，音ㄑ丨ㄠˋ；用\n於文言詞時，音ㄑ丨ㄠˊ。
889,耀,丨ㄠˋ,光耀、炫耀,ㄩㄝˋ併讀為丨ㄠˋ。
890,耕,ㄍㄥ,農耕、耕讀、耕田,ㄐ丨ㄥ併讀為ㄍㄥ。
891,耙,ㄆㄚˊ,耙地、釘耙,ㄅㄚˋ併讀為ㄆㄚˊ。
892,耶,丨ㄝˊ,耶誕節、耶孃、耶魯大學、「\n是進亦憂，退亦憂，然則何時\n而樂耶？」（宋．范仲淹〈岳\n陽樓記〉）,丨ㄝ併讀為丨ㄝˊ。
893,聘,ㄆ丨ㄥˋ,聘禮、聘請、招聘,ㄆ丨ㄣˋ併讀為ㄆ丨ㄥˋ。
894,聞,ㄨㄣˊ,博學多聞、名聞遐邇、聞雞起\n舞,
895,聽,1.ㄊ丨ㄥ\n2.ㄊ丨ㄥˋ,1.不中聽、聽講、聽戲、「誠\n宜開張聖聽。」（三國蜀．\n諸葛亮〈出師表〉）\n2.聽憑尊便、聽天由命、聽其\n自然、垂簾聽政,作動詞治理、裁斷、任憑義時，\n音ㄊ丨ㄥˋ。
896,肉,ㄖㄡˋ,骨肉至親、果肉、肌肉,ㄖㄨˋ併讀為ㄖㄡˋ。
897,肋,ㄌㄜˋ,肋骨、雞肋,ㄌㄟˋ併讀為ㄌㄜˋ。
898,肚,1.ㄉㄨˇ\n2.ㄉㄨˋ,1.毛肚、羊肚\n2.肚皮、肚臍、肚子,動物的胃，音ㄉㄨˇ。
899,肺,ㄈㄟˋ,肺腑、肺炎、狼心狗肺,
900,肴,丨ㄠˊ,美酒佳肴、菜肴,ㄒ丨ㄠˊ併讀為丨ㄠˊ。
901,肪,ㄈㄤˊ,脂肪,ㄈㄤ併讀為ㄈㄤˊ。
902,肯,ㄎㄣˇ,不肯干休、中肯、首肯,ㄎㄥˇ併讀為ㄎㄣˇ。
903,胖,1.ㄆㄢˊ\n2.ㄆㄤˋ,1.心廣體胖\n2.胖嘟嘟、胖子、肥胖,
904,背,1.ㄅㄟ\n2.ㄅㄟˋ,1.背包、背黑鍋\n2.背後、背景、背書、離鄉背\n井、違背,
905,脈,1.ㄇㄞˋ\n2.ㄇㄛˋ（限讀）,1.脈搏、動脈\n2.含情脈脈,
906,脊,ㄐ丨ˇ,脊椎、山脊,ㄐ丨ˊ併讀為ㄐ丨ˇ。
907,脯,1.ㄆㄨˊ\n2.ㄈㄨˇ,1.雞脯、胸脯\n2.杏脯、肉脯,
908,脫,ㄊㄨㄛ,脫皮、脫脂、灑脫,
909,腋,丨ㄝˋ,兩腋清風、肘腋之患、腋下,丨ˋ併讀為丨ㄝˋ。
910,腊,1.ㄒ丨ˊ\n2.ㄌㄚˋ,1.「噬腊肉，遇毒。」（《易\n經》）\n2.「臘」之異體字。,
911,腳,ㄐ丨ㄠˇ,腳本、腳夫、腳踏車、腳踏實\n地、腳色,1.ㄐㄩㄝˊ併讀為ㄐ丨ㄠˇ。\n2.「腳色」亦作「角（ㄐㄩㄝˊ\n）色」。
912,膀,1.ㄅㄤˇ\n2.ㄆㄤ\n3.ㄆㄤˊ\n4.ㄅㄤˋ（限讀）,1.臂膀、肩膀、翅膀\n2.膀腫、奶膀子\n3.膀胱\n4.弔膀子,
913,膏,1.ㄍㄠ\n2.ㄍㄠˋ,1.膏壤、牙膏、油膏\n2.膏墨、膏點兒油,作動詞用時，音ㄍㄠˋ。
914,膜,ㄇㄛˊ,薄膜、膜拜、黏膜,ㄇㄛˋ併讀為ㄇㄛˊ。
915,膞,ㄓㄨㄢ,「膞，鳥胃也。」（《廣韻》\n）,
916,臃,ㄩㄥ,臃腫,ㄩㄥˇ併讀為ㄩㄥ。
917,臂,ㄅ丨ˋ,臂膀、長臂猿、手臂,ㄅㄟˋ併讀為ㄅ丨ˋ。
918,臊,1.ㄙㄠ\n2.ㄙㄠˋ,1.狐臊、臊聲、臊味\n2.害臊、臊子,
919,臠,ㄌㄨㄢˊ,臠臠、禁臠,ㄌㄩㄢˇ併讀為ㄌㄨㄢˊ。
920,臭,1.ㄒ丨ㄡˋ\n2.ㄔㄡˋ,1.臭味相投（指氣味，屬中性\n義）、無臭無味\n2.腥臭、臭皮囊、臭罵一頓、\n臭味相投（指不好的氣味，\n屬貶義）,
921,臾,ㄩˊ,須臾、甌臾,
922,與,1.ㄩˊ\n2.ㄩˇ\n3.ㄩˋ,1.「孝弟也者，其為仁之本與\n！」（《論語》）、「子非\n三閭大夫與？」（《楚辭》\n）\n2.選賢與能、時不我與、讓與\n、我與你、與否\n3.參與、「與百官之政事。」\n（《國語》）,
923,興,1.ㄒ丨ㄥ\n2.ㄒ丨ㄥˋ,1.興奮、興建、興旺\n2.高興、興趣、興匆匆,
924,舍,1.ㄕㄜˇ\n2.ㄕㄜˋ,1.舍己從人、舍我其誰\n2.寒舍、舍弟、舍利子、宿舍,ㄕㄜˇ音，同「捨」。
925,般,1.ㄅㄛ\n2.ㄅㄢ\n3.ㄆㄢˊ,1.般若（ㄖㄜˇ）\n2.這般、一般、萬般\n3.般樂、般桓,
926,舳,ㄓㄨˊ,舳艫千里,ㄓㄡˊ併讀為ㄓㄨˊ。
927,艘,ㄙㄠ,一艘船、「沛地淤填七八里，\n糧艘阻不進。」（《明史》）,ㄙㄡ併讀為ㄙㄠ。
928,艮,1.ㄍㄣˇ\n2.ㄍㄣˋ,1.「他的話太艮！」、「這個\n人真艮！」\n2.艮卦（《易經》卦名）、艮\n苦冰涼；姓（如漢代有艮當\n）。,
929,色,1.ㄙㄜˋ\n2.ㄕㄞˇ（限讀）,1.景色、成色、五顏六色、物\n色\n2.色子（「骰（ㄊㄡˊ）子」\n的別稱）,ㄕㄜˋ併讀為ㄙㄜˋ。
930,艾,1.ㄞˋ\n2.丨ˋ,1.期期艾艾、艾草；姓（如清\n代有艾元征）。\n2.自怨自艾、艾安,
931,芍,ㄕㄠˊ,芍藥、采蘭贈芍,ㄕㄨㄛˋ併讀為ㄕㄠˊ。
932,芯,ㄒ丨ㄣ,燈芯、芯子,ㄒ丨ㄣˋ併讀為ㄒ丨ㄣ。
933,苛,ㄎㄜ,苛薄、苛求、嚴苛,ㄏㄜˊ併讀為ㄎㄜ。
934,茄,1.ㄐ丨ㄚ\n2.ㄑ丨ㄝˊ,1.茄冬樹、雪茄\n2.番茄、茄子,
935,若,1.ㄖㄜˇ\n2.ㄖㄨㄛˋ,1.般（ㄅㄛ）若、蘭若\n2.倘若、若干、若無其事,
936,茂,ㄇㄠˋ,茂密、圖文並茂；姓（如漢代\n有茂員）。,ㄇㄡˋ併讀為ㄇㄠˋ。
937,苔,1.ㄊㄞ\n2.ㄊㄞˊ,1.舌苔（同「舌胎」）\n2.米苔目、苔蘚,
938,苑,ㄩㄢˋ,內苑、文苑,
939,苫,ㄕㄢ,茅苫、苫布,ㄕㄢˋ併讀為ㄕㄢ。
940,苴,ㄐㄩ,補苴、苴布、「苴，履中草。\n」（《說文》）,ㄐㄩˇ併讀為ㄐㄩ。
941,茆,ㄇㄠˇ,「思樂泮水，薄采其茆。」（\n《詩經》）,
942,茸,ㄖㄨㄥˊ,毛茸茸、鹿茸、茸毛,
943,茲,1.ㄗ\n2.ㄘˊ（限讀）,1.念茲在茲、今茲\n2.龜茲（ㄑ丨ㄡ ㄘˊ，古國\n名）,
944,茹,ㄖㄨˊ,含辛茹苦、竹茹、茹素,ㄖㄨˋ併讀為ㄖㄨˊ。
945,茗,ㄇ丨ㄥˊ,品茗、茗茶,ㄇ丨ㄥˇ併讀為ㄇ丨ㄥˊ。
946,荑,丨ˊ,柔荑、荑手纖纖,ㄊ丨ˊ併讀為丨ˊ。
947,茷,ㄈㄚˊ,茷茷,
948,莎,1.ㄕㄚ\n2.ㄙㄨㄛ,1.莎雞、莎士比亞、阿莎力\n2.莎草,
949,莞,1.ㄍㄨㄢ\n2.ㄨㄢˇ\n3.ㄍㄨㄢˇ（限讀）,1.莞草\n2.莞爾\n3.東莞（地名）,
950,莘,ㄒ丨ㄣ,細莘（植物名）、莘莘學子,
951,荸,ㄅ丨ˊ,荸薺（ㄑ丨ˊ）,ㄅㄛˊ併讀為ㄅ丨ˊ。
952,莫,ㄇㄛˋ,變化莫測、莫名其妙、莫逆之\n交；姓（如北魏有莫含）。,
953,莠,丨ㄡˋ,良莠不齊、莠民,丨ㄡˇ併讀為丨ㄡˋ。
954,荷,1.ㄏㄜˊ\n2.ㄏㄜˋ,1.薄（ㄅㄛˋ）荷、荷花\n2.負荷、荷鋤,
955,荼,1.ㄊㄨˊ\n2.ㄕㄨ,1.荼毒、荼炭、如火如荼\n2.神荼（門神名）、「諸侯御\n荼。」（《荀子》）,
956,莩,ㄈㄨˊ,莩甲、葭莩,
957,菸,丨ㄢ,戒菸、菸草,
958,華,1.ㄏㄨㄚ\n2.ㄏㄨㄚˊ\n3.ㄏㄨㄚˋ,1.春華（同「春花」）\n2.樸實無華、富貴榮華、光華\n、華人、精華\n3.華山（山名）；姓（如三國\n魏有華歆）。,
959,菴,ㄢ,菴婪、菴廬、菴菴,
960,著,1.˙ㄓㄜ\n2.ㄓㄠ\n3.ㄓㄠˊ,1.坐著、「你且慢著！」\n2.著涼、著急、「三十六著，\n走為上著。」（《水滸傳》\n）\n3.著火、「打著了！」、「睡,
,,4.ㄓㄨˋ\n5.ㄓㄨㄛˊ,著了！」\n4.名著、土著、著作\n5.棋高一著、著實、著手、著\n眼,
961,菲,1.ㄈㄟ\n2.ㄈㄟˇ,1.芳菲、菲律賓（國名）\n2.菲食惡衣、葑菲之采、妄自\n菲薄,
962,萎,ㄨㄟ,枯萎、萎靡,
963,菉,ㄌㄩˋ,菉豆,ㄌㄨˋ併讀為ㄌㄩˋ。
964,菔,ㄈㄨˊ,萊菔,ㄅㄛˊ併讀為ㄈㄨˊ。
965,菑,ㄗ,菑畬（ㄩˊ）、「田一歲曰菑\n。」（《爾雅》）,
966,葷,1.ㄏㄨㄣ\n2.ㄒㄩㄣ（限讀）,1.葷腥、葷菜\n2.葷粥（ㄒㄩㄣ ㄩˋ，民族\n名）,
967,落,1.ㄌㄚˋ\n2.ㄌㄠˋ\n3.ㄌㄨㄛˋ,1.落了兩個字、落在後頭、丟\n三落四\n2.落枕、蓮花落\n3.沒落、落難、落落大方、落\n款、落腳、落下罵名、落伍\n、降落、下落、村落,
968,葉,1.ㄕㄜˋ\n2.丨ㄝˋ,1.葉公（人名）、葉縣（地名\n）\n2.百葉窗、中葉、樹葉、一葉\n扁舟,
969,葛,1.ㄍㄜˊ\n2.ㄍㄜˇ,1.杯葛、葛粉、糾葛、諸葛（\n複姓，如三國蜀有諸葛亮）\n。\n2.姓（如晉代有葛洪）。,
970,葚,ㄕㄣˋ,桑葚,ㄖㄣˋ併讀為ㄕㄣˋ。
971,蓋,1.ㄍㄜˇ\n2.ㄍㄞˋ,1.蓋縣（地名）；姓（如漢代\n有蓋寬饒）。\n2.鋪蓋、搭蓋、天靈蓋、蓋仙,
,,,、蓋世、鍋蓋、膝蓋,
972,蓁,ㄓㄣ,蓁莽、蓁蓁,
973,蔽,ㄅ丨ˋ,蒙蔽、浮雲蔽日、一言蔽之、\n掩蔽,
974,蔚,1.ㄨㄟˋ\n2.ㄩˋ,1.蔚藍、蔚為奇觀\n2.蔚蔚；姓（如明代有蔚能）\n。,
975,蔬,ㄕㄨ,蔬食、蔬菜,ㄙㄨ併讀為ㄕㄨ。
976,蔓,1.ㄇㄢˊ\n2.ㄇㄢˋ,1.蔓菁\n2.蔓草、蔓延,
977,蔡,ㄘㄞˋ,蓍蔡、姓（如漢代有蔡倫）；\n古國名。,
978,蓼,1.ㄌ丨ㄠˇ\n2.ㄌㄨˋ,1.蓼藍、蓼花、「又集于蓼。\n」（《詩經》）\n2.蓼莪（ㄜˊ）,
979,蕈,ㄒㄩㄣˋ,蕈菇、蕈狀雲,ㄒ丨ㄣˋ併讀為ㄒㄩㄣˋ。
980,蕃,1.ㄈㄢ\n2.ㄈㄢˊ\n3.ㄅㄛ（限讀）,1.蕃薯\n2.蕃衍、「以蕃王室。」（《\n尚書》）\n3.吐蕃（民族名）,ㄈㄢ音，通「番」。
981,蕉,ㄐ丨ㄠ,香蕉、芭蕉扇,
982,薄,1.ㄅㄛˊ\n2.ㄅㄛˋ（限讀）,1.單薄、刻薄、厚薄、澆薄、\n輕薄\n2.薄荷（ㄏㄜˊ）,ㄅㄠˊ併讀為ㄅㄛˊ。
983,薜,ㄅ丨ˋ,薜荔、薜羅,
984,藏,1.ㄗㄤˋ\n2.ㄘㄤˊ,1.寶藏、西藏、藏青、三藏\n2.典藏、藏匿,
985,藉,1.ㄐ丨ˊ\n2.ㄐ丨ㄝˋ,1.藉藉、聲名狼藉\n2.憑藉、藉口、慰藉、蘊藉,
986,薺,1.ㄐ丨ˋ\n2.ㄑ丨ˊ（限讀）,1.薺菜\n2.荸（ㄅ丨ˊ）薺,
987,藷,1.ㄓㄨ\n2.ㄕㄨˇ,1.藷蔗\n2.甘藷,ㄕㄨˇ音，通「薯」。
988,蘋,1.ㄆ丨ㄣˊ\n2.ㄆ丨ㄥˊ（限讀）,1.蘋草、采蘋（《詩經》篇名\n）\n2.蘋果,「蘋果」之「蘋」本音ㄆ丨ㄣˊ\n，「ㄣ」（舌尖鼻音）音受「果\n」字舌根聲母影響，同化為「ㄥ\n」（舌根鼻音），屬連讀變音。
989,蘘,ㄖㄤˊ,蘘荷,
990,虎,1.ㄏㄨˇ\n2.ㄏㄨ（限讀）,1.暴虎馮（ㄆ丨ㄥˊ）河、老\n虎、狼吞虎嚥\n2.馬虎,
991,處,1.ㄔㄨˇ\n2.ㄔㄨˋ,1.相處、處罰、處女、處理、\n處士、設身處地\n2.住處、益處,
992,虜,ㄌㄨˇ,俘虜、虜獲,ㄌㄨㄛˇ併讀為ㄌㄨˇ。
993,號,1.ㄏㄠˊ\n2.ㄏㄠˋ,1.怒號、號啕、號哭\n2.號碼、號召、號外、記號、\n這號人物,
994,虫,1.ㄏㄨㄟˇ\n2ㄔㄨㄥˊ,1.蝮虫；部首字。\n2.「蟲」之異體字。,
995,虺,1.ㄏㄨㄟ\n2.ㄏㄨㄟˇ,1.「我馬虺隤。」（《詩經》\n）\n2.虺蜴、虺蜮、「虺虺其雷。\n」（《詩經》）,
996,蚌,ㄅㄤˋ,蚌殼、老蚌生珠、蛤蚌,ㄅㄥˋ併讀為ㄅㄤˋ。
997,蛇,1.ㄕㄜˊ\n2.丨ˊ,1.白蛇、蛇蠍、蛇行\n2.蛇蛇、委（ㄨㄟ）蛇,
998,蚵,1.ㄎㄜ\n2.ㄜˊ,1.屎蚵蜋\n2.青蚵、蚵仔煎,ㄜˊ音源於閩南語，指牡蠣。
999,蛆,1.ㄐㄩ\n2.ㄑㄩ,1.蝍蛆\n2.蛆蟲、攪肚蛆腸,
1000,蛤,1.ㄍㄜˊ\n2.ㄏㄚˊ（限讀）,1.蛤蜊、文蛤\n2.蛤蟆（同「蝦蟆」）,「蛤蟆」口語變讀作ㄏㄚˊ\n˙ㄇㄚ。
1001,蛾,ㄜˊ,飛蛾、蛾眉,
1002,蛻,ㄊㄨㄟˋ,蛻變、蛻皮、蟬蛻,ㄕㄨㄟˋ併讀為ㄊㄨㄟˋ。
1003,蜿,ㄨㄢ,蜷蜿、蜿蜒,ㄨㄢˇ併讀為ㄨㄢ。
1004,蝦,1.ㄒ丨ㄚ\n2.ㄏㄚˊ（限讀）,1.魚蝦、蝦米\n2.蝦蟆（同「蛤蟆」）,「蝦蟆」口語變讀作ㄏㄚˊ\n˙ㄇㄚ。
1005,蝙,ㄅ丨ㄢ,蝙蝠,ㄅ丨ㄢˇ併讀為ㄅ丨ㄢ。
1006,螞,1.ㄇㄚˇ\n2.ㄇㄚˋ（限讀）,1.螞蝗、螞蟻\n2.螞蚱,「螞蚱」口語變讀作ㄇㄚˋ\n˙ㄓㄚ。
1007,蟀,ㄕㄨㄞˋ,蟋蟀,ㄕㄨㄛˋ併讀為ㄕㄨㄞˋ。
1008,螫,ㄓㄜ,螫傷,ㄕˋ併讀為ㄓㄜ。
1009,蟄,ㄓˊ,驚蟄、蟄伏,ㄓㄜˊ併讀為ㄓˊ。
1010,蟹,ㄒ丨ㄝˋ,螃蟹、蟹黃、蟹行,ㄒ丨ㄝˇ併讀為ㄒ丨ㄝˋ。
1011,蠕,ㄖㄨˊ,蠕動、蠕形動物,
1012,蠡,1.ㄌ丨ˊ\n2.ㄌ丨ˇ,1.瓢蠡、蠡測\n2.范蠡（人名）、蠡縣（地名\n）,
1013,血,ㄒ丨ㄝˇ,兵不血刃、血統、血氣方剛、\n血液,ㄒㄩㄝˋ併讀為ㄒ丨ㄝˇ。
1014,行,1.ㄏㄤˊ\n2.ㄏㄤˋ\n3.ㄒ丨ㄥˊ\n4.ㄒ丨ㄥˋ,1.排行、同行、內行、行頭（\n軍隊隊長或行業頭子）、行\n列、行行出狀元、行家\n2.「子路行行如也。」（《論\n語》）\n3.流行、行頭（衣飾裝備或演\n戲道具）、行程、行書、行\n為、人行道、五行\n4.品行、德行、行狀,
1015,術,ㄕㄨˋ,回天乏術、術語、藝術,
1016,衙,丨ㄚˊ,蜂衙、早衙、衙門,
1017,衝,1.ㄔㄨㄥ\n2.ㄔㄨㄥˋ,1.衝動、衝突、衝冠、衝口而\n出、衝刺、要衝\n2.衝南走、「他的脾氣太衝了\n！」、「這蒜味很衝！」「\n衝著你的面子。」,
1018,衣,1.丨\n2.丨ˋ,1.糖衣、和衣而睡、衣服\n2.衣錦還鄉,文言動詞義，音丨ˋ。
1019,衰,1.ㄕㄨㄞ\n2.ㄘㄨㄟ,1.衰退、衰老、衰弱、興衰\n2.斬衰、「相地而衰其政。」\n（《管子》）,
1020,被,ㄅㄟˋ,被迫、被動、棉被,
1021,裳,1.ㄔㄤˊ\n2.˙ㄕㄤ（限讀）,1.霓裳羽衣、「綠兮衣兮，綠\n衣黃裳。」（《詩經》）、\n「雲想衣裳花想容」（唐．\n李白〈清平調〉）\n2.衣裳,「衣裳」口語讀作丨 ˙ㄕㄤ。
1022,裨,1.ㄅ丨ˋ\n2.ㄆ丨ˊ,1.裨益、無裨於事\n2.裨將；姓（如春秋時鄭國有\n裨諶）。,
1023,褪,ㄊㄨㄣˋ,褪毛、褪色、褪衣,1.ㄊㄨㄟˋ併讀為ㄊㄨㄣˋ。\n2.「褪色」亦作「退（ㄊㄨㄟˋ\n）色」。
1024,褶,1.ㄉ丨ㄝˊ\n2.ㄒㄩㄝˊ\n3.ㄓㄜˊ,1.「帛為褶。」（《禮記》）\n2.褶子（戲裝或長袍）\n3.褶曲、皺褶、百褶裙、褶子\n（折痕）,1.ㄒ丨ˊ併讀為ㄒㄩㄝˊ。\n2.ㄓㄜˇ併讀為ㄓㄜˊ。
1025,要,1.丨ㄠ\n2.丨ㄠˋ,1.要功、要求、要脅；姓（如\n漢代有要競）。\n2.需要、摘要、要職,
1026,覃,1.ㄊㄢˊ\n2.ㄑ丨ㄣˊ,1.覃思、「覃及鬼方。」（《\n詩經》）\n2.姓（如明代有覃應充）。,
1027,見,ㄐ丨ㄢˋ,拜見、看見、見解、見笑,
1028,親,1.ㄑ丨ㄣ\n2.ㄑ丨ㄥˋ,1.親近、親戚、親兄弟、親熱\n、親吻\n2.親家、親翁,
1029,覲,ㄐ丨ㄣˋ,覲見、朝覲,ㄐ丨ㄣˇ併讀為ㄐ丨ㄣˋ。
1030,覺,1.ㄐ丨ㄠˋ\n2.ㄐㄩㄝˊ,1.睡了一覺、睡覺\n2.發覺、覺得、覺醒、覺悟、\n知覺,
1031,觀,1.ㄍㄨㄢ\n2.ㄍㄨㄢˋ,1.美觀、參觀\n2.道觀、宮觀、貞觀之治,
1032,角,1.ㄌㄨˋ\n2.ㄐ丨ㄠˇ\n3.ㄐㄩㄝˊ,1.角里（同「甪（ㄌㄨˋ）里\n」。地名、複姓）\n2.八角、牛角、口角、角力、\n角落、總角\n3.名角、角調（古代五音：宮\n、商、角、徵、羽）、角色\n、角宿、主角,「角色」亦作「腳（ㄐ丨ㄠˇ）\n色」。
1033,解,1.ㄐ丨ㄝˇ\n2.ㄐ丨ㄝˋ\n3.ㄒ丨ㄝˋ,1.庖丁解牛、和解、解剖、解\n悶、解脫、見解\n2.解元、押解\n3.解縣（地名）；姓（如春秋\n時有解狐）。,
1034,言,丨ㄢˊ,有言在先、言論、語言,
1035,訥,ㄋㄜˋ,樸訥、木訥,ㄋㄚˋ併讀為ㄋㄜˋ。
1036,許,ㄒㄩˇ,或許、期許、許配、許多、稱\n許、允許,
1037,詐,ㄓㄚˋ,奸詐、詐欺、詐術,ㄓㄚˇ併讀為ㄓㄚˋ。
1038,診,ㄓㄣˇ,門診、診斷、診所,ㄓㄣ併讀為ㄓㄣˇ。
1039,訾,ㄗˇ,訾病、訾議,
1040,語,1.ㄩˇ\n2.ㄩˋ,1.閒言閒語、手語、語言\n2.語人、「吾語汝。」（《論\n語》）,作文言動詞用，音ㄩˋ。
1041,誣,ㄨ,辯誣、誣衊、誣賴,ㄨˊ併讀為ㄨ。
1042,說,1.ㄕㄨㄛ\n2.ㄕㄨㄟˋ,1.關說、光說不練、邪說、小\n說、說明、說話\n2.說服、說客、游說,
1043,誨,ㄏㄨㄟˋ,誨人不倦、誨安、教誨,ㄏㄨㄟˇ併讀為ㄏㄨㄟˋ。
1044,誼,丨ˋ,聯誼、交誼、友誼,丨ˊ併讀為丨ˋ。
1045,諒,ㄌ丨ㄤˋ,體諒、諒可、原諒、「友直、\n友諒、友多聞，益矣。」（《\n論語》）,
1046,請,1.ㄐ丨ㄥˋ\n2.ㄑ丨ㄥˇ,1.朝請\n2.請帖、請客、請求、請問、\n邀請,
1047,調,1.ㄉ丨ㄠˋ\n2.ㄊ丨ㄠˊ,1.調撥、調換、調查、格調、\n聲調\n2.調皮、調頻、調羹、調笑、\n調色、調養,
1048,誰,ㄕㄟˊ,捨我其誰、誰知、誰人,ㄕㄨㄟˊ併讀為ㄕㄟˊ。
1049,論,1.ㄌㄨㄣˊ\n2.ㄌㄨㄣˋ,1.論語（書名）；姓（如唐代\n有論惟明）。\n2.論罪、爭論、議論、言論,
1050,諷,ㄈㄥˋ,反諷、諷經、諷刺,ㄈㄥ併讀為ㄈㄥˋ。
1051,謎,ㄇ丨ˊ,猜謎、啞謎,ㄇ丨ˋ併讀為ㄇ丨ˊ。
1052,謙,ㄑ丨ㄢ,謙謙、謙虛、謙讓、謙詞,
1053,識,1.ㄓˋ\n2.ㄕˋ,1.博聞強識、標識、默識\n2.見識、常識、識別,
1054,讀,1.ㄉㄡˋ\n2.ㄉㄨˊ,1.句讀\n2.讀本、讀書、攻讀,
1055,谷,1.ㄍㄨˇ\n2.ㄩˋ（限讀）,1.進退維谷、山谷；姓（如漢\n代有谷永）。\n2.吐谷渾（古國名）,
1056,豁,1.ㄏㄨㄛˋ\n2.ㄏㄨㄚˊ（限讀）,1.豁免、豁達、豁出去\n2.豁拳,
1057,谿,ㄒ丨,谿谷、谿壑,ㄑ丨併讀為ㄒ丨。
1058,豈,ㄑ丨ˇ,豈能、豈敢、豈有此理,
1059,豉,ㄔˇ,豆豉、豉蟲,ㄕˋ併讀為ㄔˇ。
1060,貉,1.ㄏㄜˊ\n2.ㄇㄛˋ,1.貉絨、一丘之貉\n2.「貊」之異體字。,ㄏㄠˊ併讀為ㄏㄜˊ。
1061,責,ㄗㄜˊ,職責、責備、責難、責任,
1062,賁,1.ㄅㄣ\n2.ㄅ丨ˋ,1.賁門、賁士、虎賁、血脈賁\n張\n2.賁臨、賁卦（《易經》卦名\n）、賁然,
1063,費,ㄈㄟˋ,費率、費心、花費、經費,
1064,貿,ㄇㄠˋ,貿然、貿易、外貿、,ㄇㄡˋ併讀為ㄇㄠˋ。
1065,貸,ㄉㄞˋ,貸款、責無旁貸、嚴懲不貸,
1066,賊,ㄗㄟˊ,竊賊、賊頭賊腦、賊害,ㄗㄜˊ併讀為ㄗㄟˊ。
1067,賈,1.ㄍㄨˇ\n2.ㄐ丨ㄚˇ,1.賈利、賈禍、商賈\n2.姓（如漢代有賈誼）。,
1068,賄,ㄏㄨㄟˋ,行賄、賄賂,ㄏㄨㄟˇ併讀為ㄏㄨㄟˋ。
1069,賃,ㄌ丨ㄣˋ,賃金、租賃,ㄖㄣˋ併讀為ㄌ丨ㄣˋ。
1070,賓,ㄅ丨ㄣ,賓白、賓果、來賓,
1071,賢,ㄒ丨ㄢˊ,賢明、賢伉儷、賢慧、賢賢易\n色、聖賢,
1072,賜,ㄙˋ,賞賜、賜教,ㄘˋ併讀為ㄙˋ。
1073,質,1.ㄓˊ\n2.ㄓˋ,1.性質、質樸、質問、物質\n2.典質、人質,
1074,賺,ㄓㄨㄢˋ,淨賺、賺錢、賺取,
1075,贛,ㄍㄢˋ,贛江（河川名）、贛縣（縣名\n）,
1076,赳,ㄐ丨ㄡ,赳赳,ㄐ丨ㄡˇ併讀為ㄐ丨ㄡ。
1077,趣,ㄑㄩˋ,趣味、興趣、旨趣、有趣,
1078,趨,ㄑㄩ,趨前、趨勢、趨炎附勢,
