,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
0,0127,偲,1.ㄙ\n2.ㄙㄞ,1.偲偲\n2.「其人美且\n偲」（詩\n經‧齊風‧\n盧令）,,,
1,0128,偵,ㄓㄣ,,,,
2,0129,偺,ㄗㄢˊ,,,,
3,*0130,偽,ㄨㄟˋ,,,,
4,0131,傍,1.ㄅㄤˋ\n2.ㄅㄤ,1.依山傍\n水、依傍\n2.傍晚、傍午,,通「旁」時，\n音ㄆㄤˊ。,
5,0132,傅,ㄈㄨˋ,師傅、姓（如\n殷高宗時有\n賢相傅說）,,通「敷」時，\n音ㄈㄨ。,
6,0133,傒,ㄒ｜,,,,
7,0134,傀,1.ㄎㄨㄟˇ\n2.ㄍㄨㄟ,1.傀儡\n2.傀奇,,,
8,0135,傖,ㄘㄤ,,,,
9,0136,傭,ㄩㄥ,,,,
10,0137,傳,1.ㄔㄨㄢˊ\n2.ㄓㄨㄢˋ,1.傳單、傳\n神、傳染\n2.傳記、左傳,,,
11,0138,僅,ㄐ｜ㄣˇ,,,,
12,*0139,僇,ㄌㄨˋ,,,,
13,*0140,僂,ㄌㄡˊ,,,,
14,0141,傾,ㄑ｜ㄥ,,,,
15,0142,僮,1.ㄊㄨㄥˊ\n2.ㄓㄨㄤˋ\n(限讀),,2.限於「僮\n族」，我國\n少數民族之\n一，大陸現\n作「壯族」\n音ㄓㄨㄤ\nˋ。,,
0,*0143,僎,ㄓㄨㄢˋ,,,,
1,*0144,僝,ㄔㄢˊ,,,,
2,0145,僥,1.ㄐ｜ㄠˇ\n2.｜ㄠˊ\n(限讀),1.僥倖,2.限於「僬\n僥」（古代\n的矮人國）\n一詞音｜ㄠ\nˊ。,,
3,0146,僨,ㄈㄣˋ,,,,
4,*0147,僚,ㄌ｜ㄠˊ,,,,
5,0148,僓,ㄊㄨㄟˇ,,,,
6,0149,僤,ㄉㄢˋ,,,,
7,*0150,僬,ㄐ｜ㄠ,,,,
8,0151,儃,1.ㄔㄢˊ\n2.ㄊㄢˇ,1.「入漵浦余\n儃佪。」（楚\n辭‧屈原‧\n九章‧涉江）\n2.「儃儃然不\n趨。」（莊\n子‧田子方）,,,
9,0152,僻,ㄆ｜ˋ,,,,
10,0153,價,ㄐ｜ㄚˋ,,,,
11,*0154,僸,ㄐ｜ㄣˋ,,,,
12,*0155,儆,ㄐ｜ㄥˇ,,,,
13,*0156,僾,ㄞˋ,,,,
14,0157,儌,ㄐ｜ㄠˇ,,,,
15,0158,儉,ㄐ｜ㄢˇ,,,,
16,0159,儐,ㄅ｜ㄣ,,,,
17,*0160,儓,ㄊㄞˊ,,,,
18,*0161,儗,ㄋ｜ˇ,,,,
19,*0162,儑,ㄢˋ,,,,
20,*0163,儥,ㄩˋ,,,,
21,*0164,優,｜ㄡ,,,,
0,0165,儲,ㄔㄨˊ,,,,
1,0166,儳,ㄔㄢˊ,,,,
2,*0167,儽,ㄌㄟˇ,,,,
3,*0168,允,ㄩㄣˇ,,,,
4,*0169,兄,ㄒㄩㄥ,,,,
5,0170,先,ㄒ｜ㄢ,,,,
6,0171,兌,1.ㄉㄨㄟˋ\n2.ㄩㄝˋ\n(限讀),1.兌卦、「行\n道兌矣。」\n（詩經‧大\n雅‧）、\n「塞其兌。」\n（老子‧第\n五十二章）,2.限於「兌\n命」一詞音\nㄩㄝˋ。,,
7,0172,免,ㄇ｜ㄢˇ,免除、避免,,通「絻」時，\n音ㄨㄣˋ。,
8,0173,兒,1.ㄦˊ\n2.ㄋ｜ˊ,1.兒童、兒子\n2.姓（如漢代\n有兒寬）,,,
9,0174,入,ㄖㄨˋ,,,,
10,0175,內,ㄋㄟˋ,內人、內臟、\n內疚、內幕,,通「納」時，\n音ㄋㄚˋ。,
11,0176,兩,ㄌ｜ㄤˇ,斤兩、銀兩、\n兩岸、三心兩\n意,,通「輛」時，\n音ㄌ｜ㄤˋ。,
12,*0177,八,ㄅㄚ,,,,
